code du département;numéro département;libellé du département;code circonscription;link2;libellé circonscription;sexe;nom candidat;prénom candidat;age_candidat;nuance_politique;csp;personnalité_bool;candidat_sortant;parti_predecesseur2007;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;voixmodele1;%_voix/ins;%_voix/exp;predictiont1;modele2voix;modele2rounded;voixt1;convergence_modele2;convergence_modele2_cut;convergence_modele_2_tag;passe_t2_2017;tweet_tag_count;tweet_tag_avg;tweet_nuance_count;tweet_nuance_avg;voixt2Modele1;prediction;voixT2_modele2
1;1;Ain;1;Laurent MALLET_1_1;1ère circonscription;M;MALLET;Laurent;44;EM-MODEM;3;Non;Non;Non;7.35;39.7816052467;7;12460;15.08;25.61;0.0206727129648;13098.579111;13099;13534;0.594972067039;0.594972067039;améliore;oui;;;41745;0.0440392981251;16135;0.0284486704235;17307
1;1;Ain;1;Xavier BRETON_1_1;1ère circonscription;M;BRETON;Xavier;54;LR-UMP;4;Oui;Oui;Oui;7.35;39.7816052467;7;12244;14.81;25.17;0.00395315261548;12356.9926341;12357;10693;-0.0728562217924;-0.0728562217924;degrade_un_peu;oui;46;0.00923913043478;15078;0.0310684164536;12244;-0.0081512619226;12016
1;1;Ain;1;Jérôme BUISSON_1_1;1ère circonscription;M;BUISSON;Jérôme;44;FN;4;Non;Non;Non;7.35;39.7816052467;7;11787;14.26;24.23;-0.110106620892;9147.37877289;9147;6174;0.470336718332;0.470336718332;améliore;non;;;60621;0.040893260993;11787;0.0240453777439;12499
1;1;Ain;2;Anne MICHAUD_1_2;2ème circonscription;F;MICHAUD;Anne;66;FN;8;Non;Non;Oui;7.35;39.7816052467;7;13776;14.76;24.69;-0.124690576239;10337.905499;10338;7553;0.552466655954;0.552466655954;améliore;non;;;60621;0.040893260993;19141;0.03042149201;20639
1;1;Ain;2;Marie Jeanne BEGUET_1_2;2ème circonscription;F;BEGUET;Marie Jeanne;68;EM-MODEM;7;Non;Non;Non;7.35;39.7816052467;7;16185;17.34;29.01;-0.0208733186327;15425.5047954;15426;16371;-4.08064516129;-1.042;degrade;oui;;;41745;0.0440392981251;27921;0.0328087034097;30299
1;1;Ain;3;Olga GIVERNET_1_3;3ème circonscription;F;GIVERNET;Olga;35;EM-MODEM;3;Non;Non;Non;7.35;39.7816052467;7;12409;16.45;28.76;3.20239435496E-4;12418.1602619;12418;15405;0.00300400534045;0.00300400534045;améliore;oui;;;41745;0.0440392981251;15412;0.0301666223244;16607
1;1;Ain;3;Stéphanie PERNOD BEAUDON_1_3;3ème circonscription;F;PERNOD BEAUDON;Stéphanie;38;LR-UMP;4;Oui;Oui;Oui;7.35;39.7816052467;7;11594;15.37;26.88;-0.0162725251533;11167.6236788;11168;7281;0.0987711569673;0.0987711569673;améliore;oui;;;15078;0.0310684164536;14724;-0.0162921112981;14182
1;1;Ain;4;Guy BILLOUDET_1_4;4ème circonscription;M;BILLOUDET;Guy;58;LR-UMP;5;Non;Non;Oui;7.35;39.7816052467;7;11564;12.96;21.25;-0.107582629815;9026.6260928;9027;7178;0.578431372549;0.578431372549;améliore;non;;;15078;0.0310684164536;13891;-0.00773873990758;13646
1;1;Ain;4;Stéphane TROMPILLE_1_4;4ème circonscription;M;TROMPILLE;Stéphane;34;EM-MODEM;5;Non;Non;Non;7.35;39.7816052467;7;14823;16.61;27.24;-0.0210434383496;14121.8849907;14122;15492;-1.04783258595;-1.042;degrade;oui;;;41745;0.0440392981251;16734;0.030915983167;18067
1;1;Ain;4;Blanche CHAUSSAT_1_4;4ème circonscription;F;CHAUSSAT;Blanche;32;FN;5;Non;Non;Non;7.35;39.7816052467;7;13875;15.54;25.5;-0.0968330445029;11101.9673888;11102;7964;0.469125359499;0.469125359499;améliore;oui;;;60621;0.040893260993;14635;0.00391056738235;14769
1;1;Ain;5;Pénélope CHALON_1_5;5ème circonscription;F;CHALON;Pénélope;31;FN;5;Non;Non;Non;7.35;39.7816052467;7;10990;14.61;25.4;-0.0969115379378;8791.96912888;8792;5599;0.407716564645;0.407716564645;améliore;non;;;60621;0.040893260993;15210;0.00982878004932;15566
1;1;Ain;5;Hélène DE MEIRE_1_5;5ème circonscription;F;DE MEIRE;Hélène;40;EM-MODEM;3;Non;Non;Non;7.35;39.7816052467;7;10156;13.5;23.48;0.00224899674355;10209.0045187;10209;9149;-0.0526315789474;-0.0526315789474;degrade_un_peu;oui;;;41745;0.0440392981251;21353;-0.0118935899154;20776
2;2;Aisne;1;Aude BONO-VANDORME_2_1;1ère circonscription;F;BONO-VANDORME;Aude;54;EM-MODEM;4;Non;Non;Oui;13.75;41.072730146;4;8980;12.42;21.06;-0.0224079795447;8528.41562414;8528;10043;-0.425211665099;-0.425211665099;degrade;oui;;;41745;0.0440392981251;19122;0.0106399513648;19608
2;2;Aisne;1;Damien PHILIPPOT_2_1;1ère circonscription;M;PHILIPPOT;Damien;39;FN;3;Non;Non;Non;13.75;41.072730146;4;14009;19.38;32.85;-0.0514998076239;12442.4907818;12442;9114;0.320122574055;0.320122574055;améliore;oui;;;60621;0.040893260993;17416;0.0506147320685;19872
2;2;Aisne;2;Julien DIVE_2_2;2ème circonscription;M;DIVE;Julien;32;LR-UMP;3;Oui;Oui;Oui;13.75;41.072730146;4;11765;15.91;27.4;-0.00371486954243;11664.7936885;11665;12099;-0.299401197605;-0.299401197605;degrade;oui;;;15078;0.0310684164536;19596;0.00731200261379;19934
2;2;Aisne;2;Sylvie SAILLARD-MEUNIER_2_2;2ème circonscription;F;SAILLARD-MEUNIER;Sylvie;56;FN;3;Non;Non;Non;13.75;41.072730146;4;12815;17.33;29.84;-0.101182910657;10151.6281153;10152;8349;0.596283027318;0.596283027318;améliore;oui;;;60621;0.040893260993;13736;0.0509559735123;15689
2;2;Aisne;3;Laurent MARLOT_2_3;3ème circonscription;M;MARLOT;Laurent;49;LR-UMP;2;Non;Non;Oui;13.75;41.072730146;4;7707;11.31;19.47;-0.107312627429;6019.67066244;6020;4841;0.588625261689;0.588625261689;améliore;non;;;15078;0.0310684164536;16924;0.0128230643744;17447
2;2;Aisne;3;Paul-Henry HANSEN-CATTA_2_3;3ème circonscription;M;HANSEN-CATTA;Paul-Henry;60;FN;7;Non;Non;Non;13.75;41.072730146;4;14473;21.24;36.56;-0.0751180975067;12174.2009098;12174;8113;0.361477987421;0.361477987421;améliore;oui;;;60621;0.040893260993;15327;0.0425658372018;17086
2;2;Aisne;4;Jean MESSIHA_2_4;4ème circonscription;M;MESSIHA;Jean;46;FN;3;Non;Non;Non;13.75;41.072730146;4;14554;18.39;34.2;-0.068527580829;12429.5323714;12430;8010;0.324572127139;0.324572127139;améliore;oui;;;60621;0.040893260993;17555;0.0442883841935;19666
2;2;Aisne;4;Marc DELATTE_2_4;4ème circonscription;M;DELATTE;Marc;56;EM-MODEM;3;Non;Non;Non;13.75;41.072730146;4;10238;12.93;24.06;0.0448394465491;11487.4283327;11487;9683;-2.25045045045;-1.042;degrade;oui;;;41745;0.0440392981251;18699;0.0146457851474;19363
2;2;Aisne;5;Jacques KRABAL_2_5;5ème circonscription;M;KRABAL;Jacques;69;EM-MODEM;7;Oui;Oui;Non;13.75;41.072730146;4;11119;13.52;27.02;0.122152015674;16467.8394693;16468;14206;1.73275024295;1.715;ameliore/surestime;oui;;;41745;0.0440392981251;17132;0.0369603449738;18802
2;2;Aisne;5;François DE VOYER_2_5;5ème circonscription;M;DE VOYER;François;34;FN;2;Non;Non;Oui;13.75;41.072730146;4;15586;18.95;37.88;-0.0565989346506;13681.5637137;13682;10111;0.347762557078;0.347762557078;améliore;oui;;;60621;0.040893260993;17089;0.0476451236545;19330
3;3;Allier;1;Pauline RIVIERE_3_1;1ère circonscription;F;RIVIERE;Pauline;33;EM-MODEM;4;Non;Non;Non;10.5;45.1561753824;7;13760;15.34;31.6;-0.026888067255;12933.9258449;12934;13267;1.67545638945;1.67545638945;ameliore/surestime;oui;;;41745;0.0440392981251;24928;0.0177276656049;26012
3;3;Allier;1;Michèle CIUCH_3_1;1ère circonscription;F;CIUCH;Michèle;53;FN;5;Non;Non;Non;10.5;45.1561753824;7;10933;12.19;25.11;-0.110972642943;8467.72421705;8468;4706;0.39585675285;0.39585675285;améliore;non;;;60621;0.040893260993;15372;0.0327404763011;16678
